feature,geometry,target,mean_r,std_r,n_experiments,direction,experiments
separability_max,base,Prompt,-0.12756989999357346,0.3028291028605385,3,-,"['HP', 'TOFU_grad_diff', 'TOFU_idk']"
separability_mean,base,Prompt,-0.15799336070546655,0.33767452564035383,3,-,"['HP', 'TOFU_grad_diff', 'TOFU_idk']"
centrality_mean,base,Prompt,-0.06438448110842925,0.36990423408622436,2,+,"['HP', 'TOFU_grad_diff']"
separability_mean,base,Embedding,-0.29100665367322875,0.0706191338826952,2,-,"['TOFU_grad_ascent', 'TOFU_idk']"
separability_min,unlearned,Steering,-0.32401020611046355,0.14375557561106023,2,-,"['TOFU_grad_diff', 'TOFU_idk']"
separability_min,base,Unlearning,0.3440245188202662,0.08018341868256064,2,+,"['TOFU_grad_diff', 'TOFU_idk']"
separability_min,base,Steering,-0.3323695425214128,0.10716646306610707,2,-,"['TOFU_grad_diff', 'TOFU_idk']"
separability_min,base,Embedding,-0.34705366367531554,0.12792910844039307,2,-,"['TOFU_grad_ascent', 'TOFU_idk']"
separability_mean,unlearned,Unlearning,0.3482910000591653,0.05141860076568916,2,+,"['TOFU_grad_diff', 'TOFU_idk']"
separability_mean,unlearned,Steering,-0.3365211258610016,0.0942825129475483,2,-,"['TOFU_grad_diff', 'TOFU_idk']"
separability_mean,base,Unlearning,0.35858286615591317,0.06353308912151993,2,+,"['TOFU_grad_diff', 'TOFU_idk']"
separability_mean,base,Steering,-0.3503989836823357,0.0988036012250576,2,-,"['TOFU_grad_diff', 'TOFU_idk']"
separability_max,unlearned,Unlearning,0.2544934750899258,0.03538744788301434,2,+,"['TOFU_grad_diff', 'TOFU_idk']"
centrality_std,unlearned,Steering,0.0028659919088278585,0.40040707988699026,2,+,"['TOFU_grad_diff', 'TOFU_idk']"
separability_max,unlearned,Steering,-0.21562547359862033,0.009066049151553159,2,-,"['TOFU_grad_diff', 'TOFU_idk']"
separability_max,base,Unlearning,0.30934536306800786,0.07347029333627571,2,+,"['TOFU_grad_diff', 'TOFU_idk']"
separability_max,base,Steering,-0.29149754276545226,0.12018146200507646,2,-,"['TOFU_grad_diff', 'TOFU_idk']"
local_density_min,unlearned,Steering,0.029997876002919296,0.35064436384274983,2,+,"['TOFU_grad_diff', 'TOFU_idk']"
local_density_max,unlearned,Unlearning,0.2672195033378002,0.08333590942841088,2,+,"['TOFU_grad_ascent', 'TOFU_idk']"
local_density_max,unlearned,Steering,-0.21807859845876432,0.02337299391966967,2,-,"['TOFU_grad_ascent', 'TOFU_idk']"
local_density_max,unlearned,Prompt,-0.21026153764992278,0.0027851818674332583,2,-,"['TOFU_grad_ascent', 'TOFU_idk']"
centrality_std,unlearned,Unlearning,0.055065052907933815,0.4178736919366941,2,+,"['TOFU_grad_diff', 'TOFU_idk']"
separability_min,unlearned,Unlearning,0.3362384147432127,0.08909473840182644,2,+,"['TOFU_grad_diff', 'TOFU_idk']"
