experiment,geometry,target,feature,importance,importance_std,cv_r2
HP,base,Unlearning,local_density_mean,0.05211201840260691,0.012423579498543478,-0.08468527445158265
HP,base,Unlearning,local_density_std,0.03966316040343222,0.013863443485135456,-0.08468527445158265
HP,base,Unlearning,local_density_max,0.06874626926349893,0.014286480615686247,-0.08468527445158265
HP,base,Unlearning,local_density_min,0.030108224722109778,0.00608822795912356,-0.08468527445158265
HP,base,Unlearning,separability_mean,0.035560995493036915,0.00924423643760006,-0.08468527445158265
HP,base,Unlearning,separability_std,0.6639231781462259,0.12247203066040928,-0.08468527445158265
HP,base,Unlearning,separability_max,0.01789472502770493,0.0035639202475030943,-0.08468527445158265
HP,base,Unlearning,separability_min,0.005388600201038785,0.0009123761971434024,-0.08468527445158265
HP,base,Unlearning,centrality_mean,0.06975962977897807,0.006743752793311294,-0.08468527445158265
HP,base,Unlearning,centrality_std,0.0434042853491833,0.010875987156281438,-0.08468527445158265
HP,base,Unlearning,centrality_max,0.10287321183672557,0.028782922301272607,-0.08468527445158265
HP,base,Unlearning,centrality_min,0.0071479765262808526,0.0025832882650013607,-0.08468527445158265
HP,base,Unlearning,cross_layer_consistency_mean,0.014381032866567712,0.0037373333771671424,-0.08468527445158265
HP,base,Unlearning,cross_layer_consistency_std,0.050102684435984465,0.01913080930995621,-0.08468527445158265
HP,base,Unlearning,cross_layer_consistency_max,0.006798125451032167,0.0039331610766328,-0.08468527445158265
HP,base,Unlearning,cross_layer_consistency_min,0.009814570545766954,0.005511749769330554,-0.08468527445158265
HP,base,Embedding,local_density_mean,0.04308295738407882,0.005149720454969117,-0.3561035895136787
HP,base,Embedding,local_density_std,0.02555060236678678,0.004233312323902728,-0.3561035895136787
HP,base,Embedding,local_density_max,0.019148073090266494,0.004620583764688053,-0.3561035895136787
HP,base,Embedding,local_density_min,0.02940257128966356,0.0056237311320691055,-0.3561035895136787
HP,base,Embedding,separability_mean,0.03288609309955951,0.007586119026377913,-0.3561035895136787
HP,base,Embedding,separability_std,0.3963036892985988,0.07187492583988012,-0.3561035895136787
HP,base,Embedding,separability_max,0.06522730145222602,0.017402541317765738,-0.3561035895136787
HP,base,Embedding,separability_min,0.03560248675749407,0.006467567578483106,-0.3561035895136787
HP,base,Embedding,centrality_mean,0.1298032196045127,0.010361477840245567,-0.3561035895136787
HP,base,Embedding,centrality_std,0.044897941287312934,0.0051446077868538085,-0.3561035895136787
HP,base,Embedding,centrality_max,0.052017556849387914,0.007631772660693704,-0.3561035895136787
HP,base,Embedding,centrality_min,0.15568999904832406,0.01988365010132261,-0.3561035895136787
HP,base,Embedding,cross_layer_consistency_mean,0.05129857532503814,0.0059861224679574505,-0.3561035895136787
HP,base,Embedding,cross_layer_consistency_std,0.019668067171197366,0.005297155038247601,-0.3561035895136787
HP,base,Embedding,cross_layer_consistency_max,0.03845411922777704,0.0042021969290756255,-0.3561035895136787
HP,base,Embedding,cross_layer_consistency_min,0.039569972366291395,0.0038872210449729452,-0.3561035895136787
HP,unlearned,Unlearning,local_density_mean,0.020716866017025125,0.0071356454856655515,-0.0416230884511936
HP,unlearned,Unlearning,local_density_std,0.027520677496512845,0.010264246766423879,-0.0416230884511936
HP,unlearned,Unlearning,local_density_max,0.02557212730501417,0.006486896658077314,-0.0416230884511936
HP,unlearned,Unlearning,local_density_min,0.0068858371053856175,0.002126344088493242,-0.0416230884511936
HP,unlearned,Unlearning,separability_mean,0.0685539179336454,0.018640986683921282,-0.0416230884511936
HP,unlearned,Unlearning,separability_std,1.0615525116110984,0.19135122547538133,-0.0416230884511936
HP,unlearned,Unlearning,separability_max,0.00356341718833626,0.0024601712058756036,-0.0416230884511936
HP,unlearned,Unlearning,separability_min,0.015005071662948377,0.00838697224085283,-0.0416230884511936
