feature,pearson_r,p_value,significant,direction,experiment,geometry,target
local_density_mean,0.10924733884939772,0.2792611653079656,False,positive,HP,base,Unlearning
local_density_std,0.11173656987710355,0.2683857349790563,False,positive,HP,base,Unlearning
local_density_max,0.13683378374676095,0.17461313216492327,False,positive,HP,base,Unlearning
local_density_min,0.0720103999210264,0.47647989928954093,False,positive,HP,base,Unlearning
separability_mean,-0.09557240895964801,0.3442119948112778,False,negative,HP,base,Unlearning
separability_std,-0.17126179331097016,0.08843756140846525,False,negative,HP,base,Unlearning
separability_max,-0.11031836629706643,0.274546222046767,False,negative,HP,base,Unlearning
separability_min,-0.03811549454620819,0.7065454044322029,False,negative,HP,base,Unlearning
centrality_mean,-0.14049943742518428,0.16324014845977594,False,negative,HP,base,Unlearning
centrality_std,-0.03238835859983166,0.7490475421321091,False,negative,HP,base,Unlearning
centrality_max,-0.11548029308492343,0.25257526819108167,False,negative,HP,base,Unlearning
centrality_min,-0.04814300975956815,0.6343214029342347,False,negative,HP,base,Unlearning
isolation_mean,,,False,negative,HP,base,Unlearning
isolation_std,,,False,negative,HP,base,Unlearning
isolation_max,,,False,negative,HP,base,Unlearning
isolation_min,,,False,negative,HP,base,Unlearning
cluster_compactness_mean,,,False,negative,HP,base,Unlearning
cluster_compactness_std,,,False,negative,HP,base,Unlearning
cluster_compactness_max,,,False,negative,HP,base,Unlearning
cluster_compactness_min,,,False,negative,HP,base,Unlearning
cross_layer_consistency_mean,-0.05860891505891701,0.5624415465613495,False,negative,HP,base,Unlearning
cross_layer_consistency_std,-0.1202253770644857,0.23347082477257847,False,negative,HP,base,Unlearning
cross_layer_consistency_max,-0.05860891505891701,0.5624415465613495,False,negative,HP,base,Unlearning
cross_layer_consistency_min,-0.05860891505891701,0.5624415465613495,False,negative,HP,base,Unlearning
local_density_mean,-0.10417566658403003,0.302320994633494,False,negative,HP,base,Extraction
local_density_std,-0.09942107249968296,0.32504078599482855,False,negative,HP,base,Extraction
local_density_max,-0.12675361613963498,0.20887109707396015,False,negative,HP,base,Extraction
local_density_min,-0.06920123298116734,0.49389130447998913,False,negative,HP,base,Extraction
separability_mean,0.11711916802601827,0.24585926092927213,False,positive,HP,base,Extraction
separability_std,0.15409769437658175,0.12582827670256322,False,positive,HP,base,Extraction
separability_max,0.12931725089743332,0.19973535688879723,False,positive,HP,base,Extraction
separability_min,0.062348527419576284,0.5377318363010902,False,positive,HP,base,Extraction
centrality_mean,0.14883057754784998,0.13945110861911367,False,positive,HP,base,Extraction
centrality_std,0.014778100620832001,0.883975870283274,False,positive,HP,base,Extraction
centrality_max,0.11188054046174437,0.2677656150824787,False,positive,HP,base,Extraction
centrality_min,0.06247807013751202,0.5368855931103719,False,positive,HP,base,Extraction
isolation_mean,,,False,negative,HP,base,Extraction
isolation_std,,,False,negative,HP,base,Extraction
isolation_max,,,False,negative,HP,base,Extraction
isolation_min,,,False,negative,HP,base,Extraction
cluster_compactness_mean,,,False,negative,HP,base,Extraction
cluster_compactness_std,,,False,negative,HP,base,Extraction
cluster_compactness_max,,,False,negative,HP,base,Extraction
cluster_compactness_min,,,False,negative,HP,base,Extraction
cross_layer_consistency_mean,0.07761977519755744,0.4427259927264108,False,positive,HP,base,Extraction
cross_layer_consistency_std,0.12008216975394272,0.23403221220180706,False,positive,HP,base,Extraction
cross_layer_consistency_max,0.07761977519755744,0.4427259927264108,False,positive,HP,base,Extraction
cross_layer_consistency_min,0.07761977519755744,0.4427259927264108,False,positive,HP,base,Extraction
local_density_mean,0.06108170618907093,0.5460419954567226,False,positive,HP,unlearned,Unlearning
local_density_std,0.05197922860502984,0.6075284473512526,False,positive,HP,unlearned,Unlearning
local_density_max,0.06355141951035127,0.5298993571982408,False,positive,HP,unlearned,Unlearning
local_density_min,0.03974539708581938,0.6946059369999608,False,positive,HP,unlearned,Unlearning
separability_mean,-0.12576613951577206,0.2124683896528806,False,negative,HP,unlearned,Unlearning
separability_std,-0.243031631452697,0.014833922786195611,True,negative,HP,unlearned,Unlearning
separability_max,-0.13350357238716223,0.1854408914280227,False,negative,HP,unlearned,Unlearning
separability_min,-0.032219604986604505,0.7503120833066207,False,negative,HP,unlearned,Unlearning
centrality_mean,-0.035351177504671885,0.7269568609051356,False,negative,HP,unlearned,Unlearning
centrality_std,0.12555389295074532,0.21324730407102183,False,positive,HP,unlearned,Unlearning
centrality_max,0.08614032923603922,0.3941259782124325,False,positive,HP,unlearned,Unlearning
centrality_min,-0.1351179996557888,0.18013226291522336,False,negative,HP,unlearned,Unlearning
isolation_mean,,,False,negative,HP,unlearned,Unlearning
isolation_std,,,False,negative,HP,unlearned,Unlearning
isolation_max,,,False,negative,HP,unlearned,Unlearning
isolation_min,,,False,negative,HP,unlearned,Unlearning
cluster_compactness_mean,,,False,negative,HP,unlearned,Unlearning
cluster_compactness_std,,,False,negative,HP,unlearned,Unlearning
cluster_compactness_max,,,False,negative,HP,unlearned,Unlearning
cluster_compactness_min,,,False,negative,HP,unlearned,Unlearning
cross_layer_consistency_mean,-0.015383976721292502,0.8792542975410197,False,negative,HP,unlearned,Unlearning
cross_layer_consistency_std,-0.07360499164929922,0.466745838689244,False,negative,HP,unlearned,Unlearning
cross_layer_consistency_max,-0.015383976721292502,0.8792542975410197,False,negative,HP,unlearned,Unlearning
cross_layer_consistency_min,-0.015383976721292502,0.8792542975410197,False,negative,HP,unlearned,Unlearning
local_density_mean,-0.0614901864250092,0.5433555917727054,False,negative,HP,unlearned,Extraction
local_density_std,-0.04272147495888562,0.6729984686291175,False,negative,HP,unlearned,Extraction
local_density_max,-0.05479108996320962,0.5882117326972134,False,negative,HP,unlearned,Extraction
local_density_min,-0.0384167546400526,0.7043331279303284,False,negative,HP,unlearned,Extraction
separability_mean,0.1341271948407038,0.1833769260325612,False,positive,HP,unlearned,Extraction
separability_std,0.2673752836140174,0.007160525957345126,True,positive,HP,unlearned,Extraction
separability_max,0.1509459425419429,0.133851481006006,False,positive,HP,unlearned,Extraction
separability_min,0.04145898730077533,0.682133426511577,False,positive,HP,unlearned,Extraction
centrality_mean,0.03507725856098624,0.7289901590816618,False,positive,HP,unlearned,Extraction
centrality_std,-0.13852653545160346,0.1692909020993064,False,negative,HP,unlearned,Extraction
centrality_max,-0.09058847064035346,0.3700710653307434,False,negative,HP,unlearned,Extraction
centrality_min,0.15198495789984984,0.1311645859287907,False,positive,HP,unlearned,Extraction
isolation_mean,,,False,negative,HP,unlearned,Extraction
isolation_std,,,False,negative,HP,unlearned,Extraction
isolation_max,,,False,negative,HP,unlearned,Extraction
isolation_min,,,False,negative,HP,unlearned,Extraction
cluster_compactness_mean,,,False,negative,HP,unlearned,Extraction
cluster_compactness_std,,,False,negative,HP,unlearned,Extraction
cluster_compactness_max,,,False,negative,HP,unlearned,Extraction
cluster_compactness_min,,,False,negative,HP,unlearned,Extraction
cross_layer_consistency_mean,0.00716021768105977,0.9436342474107972,False,positive,HP,unlearned,Extraction
cross_layer_consistency_std,0.10432617116338151,0.3016192264228952,False,positive,HP,unlearned,Extraction
cross_layer_consistency_max,0.00716021768105977,0.9436342474107972,False,positive,HP,unlearned,Extraction
cross_layer_consistency_min,0.00716021768105977,0.9436342474107972,False,positive,HP,unlearned,Extraction
local_density_mean,0.09068943714082271,0.3695356936346191,False,positive,TOFU_grad_ascent,base,Unlearning
local_density_std,0.08297233040422619,0.41181256618476886,False,positive,TOFU_grad_ascent,base,Unlearning
local_density_max,0.09453082849475454,0.3495201172529767,False,positive,TOFU_grad_ascent,base,Unlearning
local_density_min,0.07111474770793214,0.4819949858970489,False,positive,TOFU_grad_ascent,base,Unlearning
separability_mean,0.01624403095386104,0.872559215599014,False,positive,TOFU_grad_ascent,base,Unlearning
separability_std,-0.05724289186048553,0.5716002948951275,False,negative,TOFU_grad_ascent,base,Unlearning
separability_max,0.03680876937564663,0.7161692944841339,False,positive,TOFU_grad_ascent,base,Unlearning
separability_min,0.046500521103761974,0.6459415003405222,False,positive,TOFU_grad_ascent,base,Unlearning
centrality_mean,-0.13300784876359906,0.18709358596512274,False,negative,TOFU_grad_ascent,base,Unlearning
centrality_std,0.024258014494649066,0.8106670703919798,False,positive,TOFU_grad_ascent,base,Unlearning
centrality_max,-0.14175960857461628,0.15946022606051455,False,negative,TOFU_grad_ascent,base,Unlearning
centrality_min,-0.16979748652993185,0.09123578259691137,False,negative,TOFU_grad_ascent,base,Unlearning
isolation_mean,,,False,negative,TOFU_grad_ascent,base,Unlearning
isolation_std,,,False,negative,TOFU_grad_ascent,base,Unlearning
isolation_max,,,False,negative,TOFU_grad_ascent,base,Unlearning
isolation_min,,,False,negative,TOFU_grad_ascent,base,Unlearning
cluster_compactness_mean,,,False,negative,TOFU_grad_ascent,base,Unlearning
cluster_compactness_std,,,False,negative,TOFU_grad_ascent,base,Unlearning
cluster_compactness_max,,,False,negative,TOFU_grad_ascent,base,Unlearning
cluster_compactness_min,,,False,negative,TOFU_grad_ascent,base,Unlearning
cross_layer_consistency_mean,0.030616116900540107,0.7623602203691849,False,positive,TOFU_grad_ascent,base,Unlearning
cross_layer_consistency_std,0.10744561274498142,0.2873144873530766,False,positive,TOFU_grad_ascent,base,Unlearning
cross_layer_consistency_max,0.030616116900540107,0.7623602203691849,False,positive,TOFU_grad_ascent,base,Unlearning
cross_layer_consistency_min,0.030616116900540107,0.7623602203691849,False,positive,TOFU_grad_ascent,base,Unlearning
local_density_mean,-0.09032455520668016,0.371472707975474,False,negative,TOFU_grad_ascent,base,Extraction
local_density_std,-0.08058061387614938,0.4254670966478253,False,negative,TOFU_grad_ascent,base,Extraction
local_density_max,-0.09104524973768098,0.36765279021745934,False,negative,TOFU_grad_ascent,base,Extraction
local_density_min,-0.07048335404946357,0.4859033133594505,False,negative,TOFU_grad_ascent,base,Extraction
separability_mean,-0.017115694702910033,0.8657829198828837,False,negative,TOFU_grad_ascent,base,Extraction
separability_std,0.06732588037265347,0.5056987650648468,False,positive,TOFU_grad_ascent,base,Extraction
separability_max,-0.030389123897949163,0.7640704449113301,False,negative,TOFU_grad_ascent,base,Extraction
separability_min,-0.0505748577369886,0.6172792595307633,False,negative,TOFU_grad_ascent,base,Extraction
centrality_mean,0.14201254960202728,0.1587094412960938,False,positive,TOFU_grad_ascent,base,Extraction
centrality_std,-0.024245596953990492,0.8107621782830846,False,negative,TOFU_grad_ascent,base,Extraction
centrality_max,0.14274757237474608,0.15654268459309187,False,positive,TOFU_grad_ascent,base,Extraction
centrality_min,0.17613060188745686,0.07962035189358171,False,positive,TOFU_grad_ascent,base,Extraction
isolation_mean,,,False,negative,TOFU_grad_ascent,base,Extraction
isolation_std,,,False,negative,TOFU_grad_ascent,base,Extraction
isolation_max,,,False,negative,TOFU_grad_ascent,base,Extraction
isolation_min,,,False,negative,TOFU_grad_ascent,base,Extraction
cluster_compactness_mean,,,False,negative,TOFU_grad_ascent,base,Extraction
cluster_compactness_std,,,False,negative,TOFU_grad_ascent,base,Extraction
cluster_compactness_max,,,False,negative,TOFU_grad_ascent,base,Extraction
cluster_compactness_min,,,False,negative,TOFU_grad_ascent,base,Extraction
cross_layer_consistency_mean,-0.03240056372647269,0.7489561097424661,False,negative,TOFU_grad_ascent,base,Extraction
cross_layer_consistency_std,-0.10023723512946704,0.32106493525138036,False,negative,TOFU_grad_ascent,base,Extraction
cross_layer_consistency_max,-0.03240056372647269,0.7489561097424661,False,negative,TOFU_grad_ascent,base,Extraction
cross_layer_consistency_min,-0.03240056372647269,0.7489561097424661,False,negative,TOFU_grad_ascent,base,Extraction
local_density_mean,0.16314253251462732,0.1048462764793394,False,positive,TOFU_grad_ascent,unlearned,Unlearning
local_density_std,0.16599030339296278,0.0988396469277667,False,positive,TOFU_grad_ascent,unlearned,Unlearning
local_density_max,0.20829211666462288,0.037562115985916425,True,positive,TOFU_grad_ascent,unlearned,Unlearning
local_density_min,0.13059660755196678,0.19528530101748517,False,positive,TOFU_grad_ascent,unlearned,Unlearning
separability_mean,0.07958453608784781,0.43122966959424425,False,positive,TOFU_grad_ascent,unlearned,Unlearning
separability_std,0.04854084026241624,0.6315200368060427,False,positive,TOFU_grad_ascent,unlearned,Unlearning
separability_max,0.10629038407105397,0.29255850962690694,False,positive,TOFU_grad_ascent,unlearned,Unlearning
separability_min,0.04211787693516878,0.6773600861524984,False,positive,TOFU_grad_ascent,unlearned,Unlearning
centrality_mean,0.07657083631793316,0.448933568005,False,positive,TOFU_grad_ascent,unlearned,Unlearning
centrality_std,0.11620937963336093,0.24957213382646073,False,positive,TOFU_grad_ascent,unlearned,Unlearning
centrality_max,0.07768041356737032,0.4423686213798183,False,positive,TOFU_grad_ascent,unlearned,Unlearning
centrality_min,-0.0822558511459571,0.4158759147247474,False,negative,TOFU_grad_ascent,unlearned,Unlearning
isolation_mean,,,False,negative,TOFU_grad_ascent,unlearned,Unlearning
isolation_std,,,False,negative,TOFU_grad_ascent,unlearned,Unlearning
isolation_max,,,False,negative,TOFU_grad_ascent,unlearned,Unlearning
isolation_min,,,False,negative,TOFU_grad_ascent,unlearned,Unlearning
cluster_compactness_mean,,,False,negative,TOFU_grad_ascent,unlearned,Unlearning
cluster_compactness_std,,,False,negative,TOFU_grad_ascent,unlearned,Unlearning
cluster_compactness_max,,,False,negative,TOFU_grad_ascent,unlearned,Unlearning
cluster_compactness_min,,,False,negative,TOFU_grad_ascent,unlearned,Unlearning
