feature,mean_r,std_r,n_significant,experiments,abs_mean_r
local_density_max,0.07430103314904693,0.2704015677684384,5,"TOFU_grad_ascent, TOFU_idk",0.07430103314904693
local_density_mean,0.014707956600747557,0.30158491393398973,4,TOFU_idk,0.014707956600747557
separability_max,0.030294743779329364,0.2751543546317755,4,TOFU_idk,0.030294743779329364
separability_mean,0.01880078448201304,0.33950444457009926,4,TOFU_idk,0.01880078448201304
separability_min,0.020403531812062232,0.30046278427169015,4,TOFU_idk,0.020403531812062232
centrality_max,0.011054839913752418,0.31383803709834535,2,TOFU_idk,0.011054839913752418
centrality_min,-0.04294181717293763,0.43614576316899323,2,TOFU_idk,0.04294181717293763
centrality_std,0.03514090232073097,0.44605069591588026,2,TOFU_idk,0.03514090232073097
local_density_min,-0.21609261235674015,0.0026198576335011146,2,TOFU_idk,0.21609261235674015
local_density_std,0.2712570350976483,0.022232159921582877,2,TOFU_idk,0.2712570350976483
separability_std,0.012171826080660211,0.36091219080817993,2,HP,0.012171826080660211
