experiment,geometry,target,feature_group,model,n_features,cv_r2_mean,cv_r2_std,n_samples
HP,base,Unlearning,density,LinearRegression,4,-0.0168246410166079,0.02111152512718591,100
HP,base,Unlearning,density,Ridge,4,-0.00807357693275763,0.01941579041871129,100
HP,base,Unlearning,separability,LinearRegression,4,-0.06562042607763416,0.0920323830533594,100
HP,base,Unlearning,separability,Ridge,4,-0.06304426784453694,0.11067223781776403,100
HP,base,Unlearning,centrality,LinearRegression,4,-0.04042161448784547,0.06403425701447757,100
HP,base,Unlearning,centrality,Ridge,4,-0.03889428033834972,0.061158673670140114,100
HP,base,Unlearning,isolation,LinearRegression,4,-0.019303737919414178,0.02787745566763505,100
HP,base,Unlearning,isolation,Ridge,4,-0.019303737919414178,0.02787745566763505,100
HP,base,Unlearning,compactness,LinearRegression,4,-0.019303737919414178,0.02787745566763505,100
HP,base,Unlearning,compactness,Ridge,4,-0.019303737919414178,0.02787745566763505,100
HP,base,Unlearning,consistency,LinearRegression,4,-0.024766245427511623,0.02637036170742518,100
HP,base,Unlearning,consistency,Ridge,4,-0.024479311562234818,0.02623672985323666,100
HP,base,Extraction,density,LinearRegression,4,-18.412331478319704,27.195128321095197,100
HP,base,Extraction,density,Ridge,4,-14.539752482791119,21.45064919888088,100
HP,base,Extraction,separability,LinearRegression,4,-48.79675717750485,72.99577404906181,100
HP,base,Extraction,separability,Ridge,4,-37.901635446825665,58.413478486684276,100
HP,base,Extraction,centrality,LinearRegression,4,-21.166904177754223,27.615129836743222,100
HP,base,Extraction,centrality,Ridge,4,-20.949074993564754,27.407884410997553,100
HP,base,Extraction,isolation,LinearRegression,4,-14.439411965971019,21.237576704627894,100
HP,base,Extraction,isolation,Ridge,4,-14.439411965971019,21.237576704627894,100
HP,base,Extraction,compactness,LinearRegression,4,-14.439411965971019,21.237576704627894,100
HP,base,Extraction,compactness,Ridge,4,-14.439411965971019,21.237576704627894,100
HP,base,Extraction,consistency,LinearRegression,4,-15.90683096715622,20.07182581899297,100
HP,base,Extraction,consistency,Ridge,4,-15.87049698768332,20.052817158498318,100
HP,unlearned,Unlearning,density,LinearRegression,4,-0.05561714955037296,0.054131069913291946,100
HP,unlearned,Unlearning,density,Ridge,4,-0.03742635569894977,0.0314461156910406,100
HP,unlearned,Unlearning,separability,LinearRegression,4,0.06300141387442926,0.11860996118423149,100
