experiment,geometry,target,model,n_features,cv_r2_mean,cv_r2_std,top_features,n_samples
HP,base,Unlearning,Ridge,24,-0.13068976755353207,0.22894974131377077,"[('separability_mean', -0.1096633530522888), ('separability_min', 0.09404710330856576), ('local_density_min', -0.08997434263759782), ('local_density_max', 0.08000911091234851), ('local_density_mean', 0.0464801682530413)]",100
HP,base,Unlearning,Lasso,24,-0.019303737919414178,0.02787745566763505,"[('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
HP,base,Unlearning,RandomForest,24,-0.10994289784137493,0.19878074549383284,"[('separability_std', 0.29325686591620254), ('centrality_max', 0.13400654212978774), ('centrality_std', 0.08973675896145071), ('local_density_max', 0.08069452166413091), ('centrality_mean', 0.07228420050734054)]",100
HP,base,Extraction,Ridge,24,-47.65028248737501,70.0562377148132,"[('separability_mean', 0.09773755781137242), ('local_density_min', 0.09141141688210958), ('separability_min', -0.08691323372704901), ('local_density_max', -0.06802205318106976), ('local_density_mean', -0.05526872448042192)]",100
HP,base,Extraction,Lasso,24,-14.439411965971019,21.237576704627894,"[('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
HP,base,Extraction,RandomForest,24,-86.68726896266887,156.481870267603,"[('separability_std', 0.2603223536765998), ('centrality_max', 0.1640672297363136), ('local_density_max', 0.10310594819256885), ('centrality_std', 0.08108613021122309), ('centrality_mean', 0.052192859894222884)]",100
HP,unlearned,Unlearning,Ridge,24,0.002289377853736374,0.07901240188888134,"[('separability_mean', -0.26132626680170823), ('separability_min', 0.18570022584046567), ('separability_max', 0.07191762629738017), ('local_density_mean', 0.06748210311942772), ('local_density_min', -0.04048662018464749)]",100
HP,unlearned,Unlearning,Lasso,24,-0.019303737919414178,0.02787745566763505,"[('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
HP,unlearned,Unlearning,RandomForest,24,-0.04888763615356526,0.12325908062441325,"[('separability_std', 0.43873480179701263), ('centrality_max', 0.1511038333654838), ('centrality_std', 0.06831388873903065), ('cross_layer_consistency_std', 0.061556511680146114), ('centrality_min', 0.0510670930878344)]",100
HP,unlearned,Extraction,Ridge,24,-54.80247764734041,94.48229774263422,"[('separability_mean', 0.23394980686233718), ('separability_min', -0.15516392260020945), ('local_density_mean', -0.08906764920440796), ('separability_max', -0.07157858022325742), ('local_density_max', 0.06127587499773148)]",100
HP,unlearned,Extraction,Lasso,24,-14.439411965971019,21.237576704627894,"[('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
HP,unlearned,Extraction,RandomForest,24,-151.5307846120742,255.3400504167397,"[('separability_std', 0.41578355359317176), ('centrality_max', 0.17878951321091457), ('centrality_std', 0.10671694918959403), ('centrality_min', 0.053652079893560446), ('local_density_mean', 0.04097973038162991)]",100
TOFU_grad_diff,base,Unlearning,Ridge,24,0.20284721368475395,0.29652762934671206,"[('separability_min', 0.1870764941389168), ('separability_std', 0.10930434196705434), ('local_density_mean', -0.0862871660733706), ('centrality_mean', -0.06021088069758481), ('separability_max', -0.05757668274934149)]",100
TOFU_grad_diff,base,Unlearning,Lasso,24,-0.03181105326087612,0.06859713384860573,"[('centrality_min', 0.015514901543668063), ('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0)]",100
TOFU_grad_diff,base,Unlearning,RandomForest,24,0.4542283355822076,0.2568787851260693,"[('separability_mean', 0.2978431871673854), ('separability_max', 0.20907933337528015), ('centrality_std', 0.10870983082555358), ('separability_min', 0.0899652480144051), ('centrality_mean', 0.06335892754309733)]",100
TOFU_grad_diff,base,Extraction,Ridge,24,0.15930274931833507,0.28783783332251356,"[('separability_min', -0.11683774511274522), ('local_density_mean', 0.0804422147715388), ('local_density_max', -0.06578936106497785), ('separability_std', -0.06528931418762979), ('centrality_min', -0.04323160069494804)]",100
TOFU_grad_diff,base,Extraction,Lasso,24,-0.03451289869247165,0.03316995905120827,"[('centrality_min', -0.008516591775614264), ('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0)]",100
TOFU_grad_diff,base,Extraction,RandomForest,24,0.347243485223685,0.11129810975193961,"[('separability_mean', 0.29029927780857395), ('separability_max', 0.28099724287118394), ('separability_min', 0.09115305022653003), ('centrality_mean', 0.07356404453249867), ('local_density_std', 0.05752249755137655)]",100
TOFU_grad_diff,unlearned,Unlearning,Ridge,24,0.07177272441516305,0.285767190223393,"[('separability_mean', 0.2494390211720985), ('separability_max', -0.1642387568725572), ('local_density_min', -0.08863026918041655), ('centrality_std', -0.08861035441202075), ('local_density_std', 0.06432429308283573)]",100
TOFU_grad_diff,unlearned,Unlearning,Lasso,24,-0.05232592087036125,0.058663451532145625,"[('local_density_mean', 0.0), ('local_density_std', 0.0), ('local_density_max', 0.0), ('local_density_min', 0.0), ('separability_mean', 0.0)]",100
