experiment,geometry,target,feature,mutual_info,n_samples
HP,base,Unlearning,local_density_mean,0.0,100
HP,base,Unlearning,local_density_std,0.004197713101754097,100
HP,base,Unlearning,local_density_max,0.0,100
HP,base,Unlearning,local_density_min,0.0035088540284435865,100
HP,base,Unlearning,separability_mean,0.016064666654000526,100
HP,base,Unlearning,separability_std,0.0,100
HP,base,Unlearning,separability_max,0.022633251399342136,100
HP,base,Unlearning,separability_min,0.028829338465135024,100
HP,base,Unlearning,centrality_mean,0.0,100
HP,base,Unlearning,centrality_std,0.0,100
HP,base,Unlearning,centrality_max,0.02917133809078365,100
HP,base,Unlearning,centrality_min,0.0,100
HP,base,Unlearning,isolation_mean,0.07349115283953322,100
HP,base,Unlearning,isolation_std,0.051520273139094686,100
HP,base,Unlearning,isolation_max,0.0,100
HP,base,Unlearning,isolation_min,0.0,100
HP,base,Unlearning,cluster_compactness_mean,0.08842702247757894,100
HP,base,Unlearning,cluster_compactness_std,0.0,100
HP,base,Unlearning,cluster_compactness_max,0.0,100
HP,base,Unlearning,cluster_compactness_min,0.0,100
HP,base,Unlearning,cross_layer_consistency_mean,0.0,100
HP,base,Unlearning,cross_layer_consistency_std,0.0,100
HP,base,Unlearning,cross_layer_consistency_max,0.0,100
HP,base,Unlearning,cross_layer_consistency_min,0.0,100
HP,base,Extraction,local_density_mean,0.034109215674674065,100
HP,base,Extraction,local_density_std,0.035672315979399016,100
HP,base,Extraction,local_density_max,0.05807100258656517,100
HP,base,Extraction,local_density_min,0.01656270521986425,100
HP,base,Extraction,separability_mean,0.03411491529025934,100
HP,base,Extraction,separability_std,0.0,100
HP,base,Extraction,separability_max,0.02980381644601593,100
HP,base,Extraction,separability_min,0.02053601790864068,100
HP,base,Extraction,centrality_mean,0.0,100
HP,base,Extraction,centrality_std,0.0,100
HP,base,Extraction,centrality_max,0.023211929283042387,100
HP,base,Extraction,centrality_min,0.0,100
HP,base,Extraction,isolation_mean,0.06386084601932529,100
HP,base,Extraction,isolation_std,0.0,100
HP,base,Extraction,isolation_max,0.0,100
HP,base,Extraction,isolation_min,0.0,100
