experiment,geometry,target,feature,pearson_r,abs_r,p_value,significant,cv_r2_mean,cv_r2_std,coefficient,direction,n_samples
HP,base,Unlearning,local_density_mean,0.10924733884939772,0.10924733884939772,0.2792611653079656,False,-0.010814140234612113,0.025790371507089776,0.0653917250711077,positive,100
HP,base,Unlearning,local_density_std,0.11173656987710355,0.11173656987710355,0.2683857349790563,False,-0.00969887209318956,0.03177043785385814,0.2854477557180126,positive,100
HP,base,Unlearning,local_density_max,0.13683378374676095,0.13683378374676095,0.17461313216492327,False,-0.00666920543454419,0.024630221306001617,0.07215092996648308,positive,100
HP,base,Unlearning,local_density_min,0.0720103999210264,0.0720103999210264,0.47647989928954093,False,-0.017652307154822865,0.02512682717388301,0.04825844061671992,positive,100
HP,base,Unlearning,separability_mean,-0.09557240895964801,0.09557240895964801,0.3442119948112778,False,-0.009005942277556512,0.030762448551080793,-1.2068348960700894,negative,100
HP,base,Unlearning,separability_std,-0.17126179331097016,0.17126179331097016,0.08843756140846525,False,-0.08273430242663678,0.15352757560876715,-15.039766952497612,negative,100
HP,base,Unlearning,separability_max,-0.11031836629706643,0.11031836629706643,0.274546222046767,False,-0.008404675524137751,0.026703002895872612,-1.4503223963428884,negative,100
HP,base,Unlearning,separability_min,-0.03811549454620819,0.03811549454620819,0.7065454044322029,False,-0.020145735211979064,0.027639320322943018,-0.5003777556306145,negative,100
HP,base,Unlearning,centrality_mean,-0.14049943742518428,0.14049943742518428,0.16324014845977594,False,-0.0044672205449736825,0.02373543568080769,-0.9641159714696729,negative,100
HP,base,Unlearning,centrality_std,-0.03238835859983166,0.03238835859983166,0.7490475421321091,False,-0.039561863229611215,0.03965308166712868,-0.21421670037469664,negative,100
HP,base,Unlearning,centrality_max,-0.11548029308492343,0.11548029308492343,0.25257526819108167,False,-0.023064336517624406,0.026958387725037666,-0.29699070956648294,negative,100
HP,base,Unlearning,centrality_min,-0.04814300975956815,0.04814300975956815,0.6343214029342347,False,-0.019113070001581224,0.03266570540795751,-0.10429302554231862,negative,100
HP,base,Unlearning,isolation_mean,,,,False,-0.019303737919414178,0.02787745566763505,0.0,negative,100
HP,base,Unlearning,isolation_std,,,,False,-0.019303737919414178,0.02787745566763505,0.0,negative,100
HP,base,Unlearning,isolation_max,,,,False,-0.019303737919414178,0.02787745566763505,0.0,negative,100
HP,base,Unlearning,isolation_min,,,,False,-0.019303737919414178,0.02787745566763505,0.0,negative,100
HP,base,Unlearning,cluster_compactness_mean,,,,False,-0.019303737919414178,0.02787745566763505,0.0,negative,100
HP,base,Unlearning,cluster_compactness_std,,,,False,-0.019303737919414178,0.02787745566763505,-124.79999999999997,negative,100
HP,base,Unlearning,cluster_compactness_max,,,,False,-0.01930373791941431,0.027877455667635224,-5.95,negative,100
HP,base,Unlearning,cluster_compactness_min,,,,False,-0.019303737919414178,0.0278774556676352,11.9,positive,100
HP,base,Unlearning,cross_layer_consistency_mean,-0.05860891505891701,0.05860891505891701,0.5624415465613495,False,-0.019095919479837485,0.03323138143898469,-0.3700189043407636,negative,100
HP,base,Unlearning,cross_layer_consistency_std,-0.1202253770644857,0.1202253770644857,0.23347082477257847,False,-0.01498338642300725,0.0201463394096159,-41.70031533621556,negative,100
HP,base,Unlearning,cross_layer_consistency_max,-0.05860891505891701,0.05860891505891701,0.5624415465613495,False,-0.019095919479837485,0.03323138143898469,-0.3700189043407636,negative,100
HP,base,Unlearning,cross_layer_consistency_min,-0.05860891505891701,0.05860891505891701,0.5624415465613495,False,-0.019095919479837485,0.03323138143898469,-0.3700189043407636,negative,100
HP,base,Extraction,local_density_mean,-0.10417566658403003,0.10417566658403003,0.302320994633494,False,-15.292664703858472,22.34007830412342,-0.06067055010975483,negative,100
HP,base,Extraction,local_density_std,-0.09942107249968296,0.09942107249968296,0.32504078599482855,False,-13.718682775978161,18.416456706702345,-0.24712088950633576,negative,100
