feature,geometry,target,pearson_r,direction,experiment,n_targets
local_density_mean,unlearned,"['Embedding', 'Unlearning', 'Steering', 'Prompt']",-0.0981429261452518,-,2,4
separability_mean,base,"['Prompt', 'Embedding', 'Unlearning', 'Steering']",-0.092987539486847,-,3,4
local_density_max,unlearned,"['Unlearning', 'Embedding', 'Steering', 'Prompt']",-0.08018294967717214,-,2,4
separability_std,unlearned,"['Unlearning', 'Steering', 'Prompt']",0.09907814314709713,+,1,3
separability_mean,unlearned,"['Unlearning', 'Embedding', 'Steering']",-0.06642701366298102,-,1,3
separability_max,base,"['Prompt', 'Unlearning', 'Steering']",0.010811651794503198,+,2,3
separability_min,unlearned,"['Unlearning', 'Embedding', 'Steering']",-0.06318750661527002,-,1,3
separability_min,base,"['Embedding', 'Unlearning', 'Steering']",-0.1658431143477786,-,2,3
local_density_mean,base,"['Unlearning', 'Steering', 'Prompt']",-0.0679145102402339,-,1,3
local_density_max,base,"['Unlearning', 'Prompt']",0.012505558763443031,+,1,2
centrality_max,unlearned,"['Unlearning', 'Steering']",0.011054839913752418,+,1,2
local_density_std,base,"['Unlearning', 'Prompt']",0.009581437578634597,+,1,2
local_density_std,unlearned,"['Embedding', 'Unlearning']",0.03120678830188514,+,2,2
centrality_std,unlearned,"['Unlearning', 'Steering']",0.03514090232073097,+,1,2
separability_max,unlearned,"['Unlearning', 'Steering']",0.035150685345952115,+,1,2
centrality_min,unlearned,"['Unlearning', 'Steering']",-0.04294181717293763,+,1,2
local_density_min,base,"['Embedding', 'Steering']",0.025927852187703965,+,2,2
separability_std,base,['Embedding'],0.2561675465684919,+,1,1
centrality_max,base,['Embedding'],0.20131548049811507,+,1,1
centrality_mean,base,['Prompt'],0.19717731120355605,+,1,1
local_density_min,unlearned,['Steering'],-0.21794513145513214,-,1,1
