experiment,geometry,target,feature,pearson_r,p_value,significant,direction,n
HP,base,Unlearning,local_density_mean,0.10924733884939772,0.2792611653079656,False,+,100
HP,base,Unlearning,local_density_std,0.11173656987710355,0.2683857349790563,False,+,100
HP,base,Unlearning,local_density_max,0.13683378374676095,0.17461313216492327,False,+,100
HP,base,Unlearning,local_density_min,0.0720103999210264,0.47647989928954093,False,+,100
HP,base,Unlearning,separability_mean,-0.09557240895964801,0.3442119948112778,False,-,100
HP,base,Unlearning,separability_std,-0.17126179331097016,0.08843756140846525,False,-,100
HP,base,Unlearning,separability_max,-0.11031836629706643,0.274546222046767,False,-,100
HP,base,Unlearning,separability_min,-0.03811549454620819,0.7065454044322029,False,-,100
HP,base,Unlearning,centrality_mean,-0.14049943742518428,0.16324014845977594,False,-,100
HP,base,Unlearning,centrality_std,-0.03238835859983166,0.7490475421321091,False,-,100
HP,base,Unlearning,centrality_max,-0.11548029308492343,0.25257526819108167,False,-,100
HP,base,Unlearning,centrality_min,-0.04814300975956815,0.6343214029342347,False,-,100
HP,base,Unlearning,isolation_mean,,,False,-,100
HP,base,Unlearning,isolation_std,,,False,-,100
HP,base,Unlearning,isolation_max,,,False,-,100
HP,base,Unlearning,isolation_min,,,False,-,100
HP,base,Unlearning,cluster_compactness_mean,,,False,-,100
HP,base,Unlearning,cluster_compactness_std,,,False,-,100
HP,base,Unlearning,cluster_compactness_max,,,False,-,100
HP,base,Unlearning,cluster_compactness_min,,,False,-,100
HP,base,Unlearning,cross_layer_consistency_mean,-0.05860891505891701,0.5624415465613495,False,-,100
HP,base,Unlearning,cross_layer_consistency_std,-0.1202253770644857,0.23347082477257847,False,-,100
HP,base,Unlearning,cross_layer_consistency_max,-0.05860891505891701,0.5624415465613495,False,-,100
HP,base,Unlearning,cross_layer_consistency_min,-0.05860891505891701,0.5624415465613495,False,-,100
HP,base,Embedding,local_density_mean,0.11625854249247752,0.24937051815299816,False,+,100
HP,base,Embedding,local_density_std,0.02048568366480074,0.8396802505023265,False,+,100
HP,base,Embedding,local_density_max,0.09954708822819795,0.3244248631481976,False,+,100
