experiment,geometry,target,feature,shape,bin_values,range
TOFU_idk,unlearned,Unlearning,separability_mean,Complex,"[0.767, 0.692, 0.801, 0.883]",0.19066666666666665
TOFU_idk,unlearned,Extraction,separability_mean,Complex,"[0.245, 0.292, 0.183, 0.12]",0.17200000000000001
HP,base,Unlearning,cross_layer_consistency_std,U-shaped,"[0.99, 0.996, 0.836, 0.986]",0.15919191919191922
TOFU_idk,base,Unlearning,centrality_mean,Inverted-U,"[0.7, 0.797, 0.855, 0.791]",0.15466666666666673
TOFU_idk,base,Unlearning,separability_mean,U-shaped,"[0.775, 0.735, 0.744, 0.889]",0.15466666666666673
HP,base,Extraction,cross_layer_consistency_std,Inverted-U,"[0.014, 0.007, 0.159, 0.018]",0.15242424242424243
HP,base,Unlearning,separability_max,U-shaped,"[0.996, 0.997, 0.848, 0.987]",0.14933333333333332
TOFU_idk,base,Extraction,separability_mean,Complex,"[0.237, 0.265, 0.22, 0.117]",0.14800000000000002
HP,base,Extraction,separability_max,Inverted-U,"[0.004, 0.003, 0.145, 0.027]",0.1426666666666667
TOFU_idk,base,Extraction,centrality_mean,U-shaped,"[0.279, 0.221, 0.136, 0.204]",0.14266666666666664
TOFU_idk,unlearned,Unlearning,separability_min,Complex,"[0.751, 0.733, 0.784, 0.875]",0.1413333333333333
HP,base,Unlearning,local_density_mean,Inverted-U,"[0.987, 0.855, 0.995, 0.992]",0.14
HP,base,Extraction,local_density_mean,Inverted-U,"[0.008, 0.145, 0.013, 0.012]",0.13733333333333336
HP,base,Unlearning,separability_std,Inverted-U,"[0.965, 1.0, 0.997, 0.865]",0.1346666666666667
TOFU_idk,unlearned,Unlearning,local_density_max,Complex,"[0.723, 0.788, 0.775, 0.857]",0.1346666666666667
TOFU_idk,base,Unlearning,separability_min,Complex,"[0.76, 0.719, 0.812, 0.852]",0.1333333333333332
HP,base,Extraction,separability_std,U-shaped,"[0.041, 0.001, 0.003, 0.133]",0.132
TOFU_idk,unlearned,Extraction,local_density_mean,Complex,"[0.289, 0.18, 0.209, 0.161]",0.12799999999999997
HP,base,Unlearning,separability_min,Complex,"[1.0, 0.873, 0.989, 0.965]",0.1266666666666667
TOFU_idk,unlearned,Unlearning,local_density_mean,Complex,"[0.731, 0.811, 0.745, 0.856]",0.12533333333333352
HP,unlearned,Unlearning,separability_min,Complex,"[0.996, 0.872, 0.988, 0.972]",0.124
HP,unlearned,Extraction,separability_min,Complex,"[0.003, 0.127, 0.019, 0.031]",0.12399999999999999
TOFU_idk,unlearned,Unlearning,separability_max,Complex,"[0.745, 0.736, 0.801, 0.86]",0.12399999999999989
HP,unlearned,Extraction,separability_std,Complex,"[0.003, 0.037, 0.013, 0.125]",0.12266666666666666
TOFU_idk,base,Extraction,local_density_mean,Complex,"[0.275, 0.191, 0.22, 0.155]",0.12000000000000005
HP,unlearned,Unlearning,separability_std,Complex,"[0.997, 0.967, 0.987, 0.877]",0.12
HP,unlearned,Extraction,centrality_mean,Inverted-U,"[0.013, 0.041, 0.121, 0.003]",0.11866666666666667
TOFU_idk,unlearned,Extraction,local_density_max,Complex,"[0.289, 0.189, 0.191, 0.171]",0.11866666666666664
HP,unlearned,Unlearning,centrality_mean,U-shaped,"[0.993, 0.955, 0.881, 0.999]",0.11733333333333329
HP,unlearned,Extraction,local_density_min,Inverted-U,"[0.009, 0.049, 0.117, 0.003]",0.11466666666666667
HP,unlearned,Extraction,local_density_mean,Inverted-U,"[0.011, 0.051, 0.116, 0.001]",0.11466666666666667
HP,base,Extraction,separability_min,Complex,"[0.0, 0.115, 0.017, 0.047]",0.11466666666666665
TOFU_idk,base,Unlearning,separability_max,Complex,"[0.771, 0.737, 0.783, 0.852]",0.11466666666666658
TOFU_idk,unlearned,Unlearning,local_density_min,U-shaped,"[0.76, 0.779, 0.745, 0.859]",0.1133333333333334
TOFU_idk,base,Unlearning,local_density_mean,Complex,"[0.743, 0.792, 0.752, 0.856]",0.1133333333333334
HP,unlearned,Unlearning,local_density_mean,U-shaped,"[0.987, 0.953, 0.889, 0.999]",0.10933333333333328
HP,unlearned,Unlearning,local_density_min,U-shaped,"[0.987, 0.953, 0.889, 0.999]",0.10933333333333328
TOFU_idk,unlearned,Extraction,cross_layer_consistency_min,Inverted-U,"[0.252, 0.185, 0.255, 0.148]",0.10666666666666663
TOFU_idk,unlearned,Extraction,cross_layer_consistency_mean,Inverted-U,"[0.252, 0.185, 0.255, 0.148]",0.10666666666666663
TOFU_idk,unlearned,Extraction,cross_layer_consistency_max,Inverted-U,"[0.252, 0.185, 0.255, 0.148]",0.10666666666666663
TOFU_idk,unlearned,Unlearning,centrality_max,Inverted-U,"[0.715, 0.819, 0.805, 0.804]",0.10400000000000009
HP,base,Unlearning,local_density_std,Complex,"[0.952, 0.891, 0.992, 0.993]",0.10266666666666668
TOFU_idk,unlearned,Extraction,centrality_max,U-shaped,"[0.276, 0.175, 0.179, 0.211]",0.10133333333333333
HP,unlearned,Extraction,separability_max,Inverted-U,"[0.003, 0.005, 0.103, 0.068]",0.09999999999999999
TOFU_idk,base,Unlearning,local_density_min,U-shaped,"[0.76, 0.779, 0.752, 0.852]",0.09999999999999998
HP,base,Unlearning,local_density_max,Inverted-U,"[0.947, 0.896, 0.993, 0.992]",0.09733333333333338
TOFU_idk,base,Unlearning,local_density_max,Complex,"[0.752, 0.773, 0.771, 0.847]",0.09466666666666668
HP,base,Extraction,local_density_std,Complex,"[0.047, 0.104, 0.016, 0.012]",0.09200000000000001
HP,base,Extraction,local_density_max,U-shaped,"[0.048, 0.104, 0.012, 0.015]",0.09200000000000001
HP,unlearned,Unlearning,separability_max,U-shaped,"[0.996, 0.993, 0.904, 0.935]",0.09199999999999997
TOFU_idk,unlearned,Extraction,local_density_std,Complex,"[0.227, 0.263, 0.179, 0.172]",0.09066666666666665
HP,unlearned,Extraction,separability_mean,Inverted-U,"[0.003, 0.017, 0.091, 0.068]",0.088
TOFU_idk,base,Unlearning,separability_std,U-shaped,"[0.789, 0.788, 0.74, 0.825]",0.08533333333333337
HP,unlearned,Unlearning,separability_mean,U-shaped,"[0.996, 0.988, 0.911, 0.933]",0.08533333333333337
HP,base,Unlearning,centrality_min,U-shaped,"[0.999, 0.916, 0.952, 0.961]",0.08266666666666678
HP,base,Unlearning,separability_mean,U-shaped,"[1.0, 0.951, 0.917, 0.96]",0.08266666666666667
TOFU_idk,base,Extraction,centrality_max,Complex,"[0.247, 0.164, 0.225, 0.204]",0.08266666666666667
TOFU_idk,base,Extraction,local_density_max,Complex,"[0.26, 0.197, 0.204, 0.179]",0.08133333333333331
HP,base,Extraction,centrality_max,Complex,"[0.007, 0.049, 0.037, 0.085]",0.07866666666666668
HP,unlearned,Unlearning,cross_layer_consistency_mean,U-shaped,"[0.995, 0.917, 0.953, 0.964]",0.07733333333333337
HP,unlearned,Unlearning,cross_layer_consistency_min,U-shaped,"[0.995, 0.917, 0.953, 0.964]",0.07733333333333337
HP,unlearned,Unlearning,cross_layer_consistency_max,U-shaped,"[0.995, 0.917, 0.953, 0.964]",0.07733333333333337
HP,base,Extraction,separability_mean,Inverted-U,"[0.0, 0.044, 0.077, 0.057]",0.07733333333333334
HP,base,Extraction,local_density_min,Inverted-U,"[0.005, 0.077, 0.083, 0.013]",0.07733333333333332
TOFU_idk,unlearned,Unlearning,cross_layer_consistency_mean,U-shaped,"[0.763, 0.804, 0.749, 0.827]",0.07733333333333325
TOFU_idk,unlearned,Unlearning,cross_layer_consistency_min,U-shaped,"[0.763, 0.804, 0.749, 0.827]",0.07733333333333325
TOFU_idk,unlearned,Unlearning,cross_layer_consistency_max,U-shaped,"[0.763, 0.804, 0.749, 0.827]",0.07733333333333325
HP,base,Extraction,centrality_min,Complex,"[0.004, 0.08, 0.047, 0.048]",0.076
TOFU_idk,unlearned,Unlearning,separability_std,U-shaped,"[0.799, 0.771, 0.749, 0.824]",0.07466666666666666
HP,base,Unlearning,centrality_mean,U-shaped,"[1.0, 0.956, 0.927, 0.945]",0.07333333333333325
HP,base,Unlearning,local_density_min,U-shaped,"[0.988, 0.92, 0.927, 0.993]",0.07333333333333325
TOFU_idk,unlearned,Unlearning,centrality_mean,U-shaped,"[0.792, 0.829, 0.756, 0.765]",0.07333333333333325
TOFU_idk,base,Unlearning,centrality_min,Complex,"[0.751, 0.823, 0.779, 0.791]",0.07199999999999984
HP,base,Extraction,centrality_mean,Inverted-U,"[0.001, 0.043, 0.072, 0.063]",0.07066666666666668
TOFU_idk,unlearned,Extraction,separability_std,Inverted-U,"[0.223, 0.176, 0.247, 0.195]",0.07066666666666666
HP,unlearned,Unlearning,centrality_std,U-shaped,"[0.964, 0.917, 0.959, 0.988]",0.07066666666666666
HP,unlearned,Unlearning,local_density_max,U-shaped,"[0.987, 0.921, 0.928, 0.992]",0.07066666666666654
HP,unlearned,Extraction,local_density_max,Inverted-U,"[0.011, 0.075, 0.08, 0.013]",0.06933333333333334
HP,unlearned,Extraction,cross_layer_consistency_mean,Complex,"[0.013, 0.08, 0.04, 0.046]",0.06666666666666665
HP,unlearned,Unlearning,centrality_max,U-shaped,"[0.964, 0.92, 0.957, 0.987]",0.06666666666666665
HP,unlearned,Extraction,cross_layer_consistency_min,Complex,"[0.013, 0.08, 0.04, 0.046]",0.06666666666666665
HP,unlearned,Extraction,cross_layer_consistency_max,Complex,"[0.013, 0.08, 0.04, 0.046]",0.06666666666666665
HP,unlearned,Extraction,centrality_std,Complex,"[0.045, 0.079, 0.04, 0.015]",0.06399999999999999
HP,base,Unlearning,centrality_std,U-shaped,"[0.96, 0.985, 0.923, 0.96]",0.06266666666666665
HP,unlearned,Extraction,centrality_max,Inverted-U,"[0.036, 0.077, 0.049, 0.016]",0.06133333333333333
HP,base,Extraction,centrality_std,Inverted-U,"[0.051, 0.015, 0.075, 0.039]",0.06000000000000001
HP,unlearned,Unlearning,centrality_min,Complex,"[0.989, 0.953, 0.955, 0.931]",0.058666666666666756
TOFU_idk,base,Extraction,centrality_min,Complex,"[0.215, 0.173, 0.22, 0.232]",0.0586666666666667
TOFU_idk,base,Unlearning,cross_layer_consistency_min,Complex,"[0.76, 0.794, 0.775, 0.815]",0.05441025641025643
TOFU_idk,base,Unlearning,cross_layer_consistency_mean,Complex,"[0.76, 0.794, 0.775, 0.815]",0.05441025641025643
TOFU_idk,base,Unlearning,cross_layer_consistency_max,Complex,"[0.76, 0.794, 0.775, 0.815]",0.05441025641025643
