experiment,geometry,target,linear_r2,interaction_r2,improvement,n_features,n_interaction_features
HP,base,Unlearning,-0.1990721798835681,-6.191701300549752,-5.992629120666185,24,300
HP,base,Extraction,-62.16758769762371,-2271.4238284885673,-2209.2562407909436,24,300
HP,unlearned,Unlearning,-0.00788003284106269,-3.0443050564359857,-3.036425023594923,24,300
HP,unlearned,Extraction,-77.58020517520691,-2130.227286829794,-2052.647081654587,24,300
TOFU_grad_ascent,base,Unlearning,-0.010526315789473717,-0.010526315789473717,0.0,24,300
TOFU_grad_ascent,base,Extraction,-0.011492418196328735,-0.011492418196328735,0.0,24,300
TOFU_grad_ascent,unlearned,Unlearning,-0.010526315789473717,-0.010526315789473717,0.0,24,300
TOFU_grad_ascent,unlearned,Extraction,-0.011492418196328735,-0.011492418196328735,0.0,24,300
TOFU_idk,base,Unlearning,-0.42024142191664515,-22.004148985303125,-21.58390756338648,24,300
TOFU_idk,base,Extraction,-0.5911277485160877,-16.927929337138146,-16.33680158862206,24,300
TOFU_idk,unlearned,Unlearning,-0.24410614904356712,-57.77585650733651,-57.531750358292946,24,300
TOFU_idk,unlearned,Extraction,-0.36853983817322933,-79.48950912954247,-79.12096929136924,24,300
