experiment,geometry,target,feature,importance,importance_std,cv_r2
HP,base,Unlearning,separability_std,0.6639231781462259,0.12247203066040928,-0.08468527445158265
HP,base,Unlearning,centrality_max,0.10287321183672557,0.028782922301272607,-0.08468527445158265
HP,base,Unlearning,centrality_mean,0.06975962977897807,0.006743752793311294,-0.08468527445158265
HP,base,Unlearning,local_density_max,0.06874626926349893,0.014286480615686247,-0.08468527445158265
HP,base,Unlearning,local_density_mean,0.05211201840260691,0.012423579498543478,-0.08468527445158265
HP,unlearned,Unlearning,separability_std,1.0615525116110984,0.19135122547538133,-0.0416230884511936
HP,unlearned,Unlearning,centrality_max,0.1166083384887566,0.010403537078301167,-0.0416230884511936
HP,unlearned,Unlearning,centrality_std,0.07739950188191763,0.022547190027380058,-0.0416230884511936
HP,unlearned,Unlearning,cross_layer_consistency_std,0.07308163628570263,0.02858512588577138,-0.0416230884511936
HP,unlearned,Unlearning,separability_mean,0.0685539179336454,0.018640986683921282,-0.0416230884511936
TOFU_grad_ascent,base,Unlearning,centrality_min,1.185858585858586,0.0181818181818183,0.3894736842105263
TOFU_grad_ascent,base,Extraction,centrality_min,1.184686002594232,0.018172374348377374,0.3885075818036713
TOFU_grad_ascent,base,Extraction,centrality_mean,0.001945845414314129,0.0004125400579887269,0.3885075818036713
TOFU_grad_ascent,unlearned,Unlearning,local_density_mean,0.3887272727272731,8.080808080805357e-05,-0.010526315789473717
TOFU_grad_ascent,unlearned,Unlearning,local_density_max,0.21292929292929297,0.0,-0.010526315789473717
TOFU_grad_ascent,unlearned,Unlearning,local_density_std,0.14181818181818207,0.0,-0.010526315789473717
TOFU_grad_ascent,unlearned,Extraction,local_density_mean,0.3884381008698305,9.859867486882693e-05,-0.011492418196328735
TOFU_grad_ascent,unlearned,Extraction,local_density_max,0.21274534564321676,1.039129320745693e-05,-0.011492418196328735
TOFU_grad_ascent,unlearned,Extraction,local_density_std,0.14183353044407143,4.506549062235409e-05,-0.011492418196328735
TOFU_grad_ascent,unlearned,Extraction,local_density_min,0.001538760872882572,0.0020901616574284737,-0.011492418196328735
TOFU_idk,base,Unlearning,separability_mean,0.27190471288677365,0.040142976849593885,-0.17635673672304536
TOFU_idk,base,Unlearning,centrality_mean,0.19899279090962466,0.023274771148267117,-0.17635673672304536
TOFU_idk,base,Unlearning,local_density_std,0.1598538140959454,0.023860460946737626,-0.17635673672304536
TOFU_idk,base,Unlearning,centrality_min,0.06456022231741346,0.00835591856143972,-0.17635673672304536
TOFU_idk,base,Unlearning,separability_std,0.051306172646397016,0.005019685920193743,-0.17635673672304536
TOFU_idk,unlearned,Unlearning,separability_mean,0.23283019669220165,0.03429094923759422,-0.08894843951528435
TOFU_idk,unlearned,Unlearning,centrality_std,0.20700015367678198,0.025525301976592734,-0.08894843951528435
TOFU_idk,unlearned,Unlearning,centrality_max,0.14487796199222236,0.023648535446196325,-0.08894843951528435
TOFU_idk,unlearned,Unlearning,centrality_mean,0.09285742605895965,0.016533414510410478,-0.08894843951528435
TOFU_idk,unlearned,Unlearning,centrality_min,0.07657559138985287,0.020096816588131092,-0.08894843951528435
TOFU_idk,unlearned,Extraction,separability_mean,0.203595971805021,0.026498991372386323,-0.26925055711813856
TOFU_idk,unlearned,Extraction,centrality_max,0.17762966969549082,0.03321538580279809,-0.26925055711813856
TOFU_idk,unlearned,Extraction,centrality_std,0.14961430715846827,0.01369614657369344,-0.26925055711813856
TOFU_idk,unlearned,Extraction,separability_std,0.1327775778369315,0.017763194343411937,-0.26925055711813856
TOFU_idk,unlearned,Extraction,centrality_min,0.08442652038455914,0.02380300405687915,-0.26925055711813856
