feature,mean,std
separability_max,0.3130186613366405,0.4103394003046774
separability_mean,0.3016912692962808,0.04021862137188099
separability_min,0.2537421226950205,0.3105948443789054
local_density_min,0.22306828380577035,0.30322264238062957
local_density_mean,0.2130512350901535,0.34355159825874443
separability_std,0.20471780863054093,0.2649698907469938
centrality_std,0.09488788890931664,0.06130324326810638
local_density_std,0.09432914982456866,0.10138353161885759
local_density_max,0.09380387508366657,0.07578564570557429
centrality_max,0.07660261561343115,0.020644603037646512
centrality_mean,0.07408180368581474,0.06781213890305782
centrality_min,0.06478158091493715,0.04299548531646283
cross_layer_consistency_std,0.03385919684412374,0.021442499903366517
cross_layer_consistency_min,0.010175100220636314,0.004786247196926758
cross_layer_consistency_max,0.006755134588746651,0.0030035433663542633
cross_layer_consistency_mean,0.006270986936303564,0.0034891120291799136
cluster_compactness_std,0.0,0.0
cluster_compactness_min,0.0,0.0
cluster_compactness_mean,0.0,0.0
cluster_compactness_max,0.0,0.0
isolation_std,0.0,0.0
isolation_min,0.0,0.0
isolation_mean,0.0,0.0
isolation_max,0.0,0.0
