feature,mean,std
centrality_std,0.1943800084053413,0.11930323355011978
separability_mean,0.15836191569088573,0.09956921257413677
local_density_std,0.14449586585683818,0.13810054006181066
separability_min,0.09614851421544739,0.10234734963256961
local_density_min,0.08109285330303291,0.09545465226864455
centrality_max,0.07399470638837896,0.029007175750120743
local_density_mean,0.05760488393435984,0.06483070498638985
separability_std,0.05374128566780212,0.0631520051661174
centrality_min,0.04932226175332548,0.029338411730653217
separability_max,0.03505787933903859,0.013877809436796487
local_density_max,0.03495527304149559,0.04710623853925551
centrality_mean,0.03328300701991631,0.043934231476774985
cross_layer_consistency_std,0.027924268624746597,0.021113460973787527
cross_layer_consistency_mean,0.02092404358880976,0.01786717638768083
cross_layer_consistency_max,0.015000037120576624,0.01246517840121682
cross_layer_consistency_min,0.011643024374471667,0.010411126045772285
isolation_mean,2.0816681711721685e-17,4.163336342344337e-17
isolation_std,1.3877787807814457e-17,2.7755575615628914e-17
cluster_compactness_mean,0.0,0.0
cluster_compactness_max,0.0,0.0
cluster_compactness_std,0.0,0.0
cluster_compactness_min,0.0,0.0
isolation_min,0.0,0.0
isolation_max,0.0,0.0
