feature,mean,std
separability_mean,0.2650028526937876,0.21941893288308567
centrality_mean,0.20216175256970587,0.15457046222414847
separability_max,0.1911600910999936,0.20049588453339479
local_density_min,0.17263095309374754,0.25643584662773444
separability_min,0.14551794756585673,0.09361332565364498
local_density_mean,0.13893763533873535,0.23998852525248357
local_density_std,0.13779481474939587,0.1505787122783119
local_density_max,0.08177674850924213,0.12638476021133765
separability_std,0.06871757476533348,0.0854021234631314
centrality_max,0.02616660906548092,0.01184043433687707
cross_layer_consistency_std,0.02548611490364649,0.022776393213850082
centrality_std,0.023564861728471637,0.022431941022154525
centrality_min,0.021289864035237423,0.021448744025900017
cross_layer_consistency_mean,0.009484480309776487,0.002471382694556008
cross_layer_consistency_min,0.008790546416107554,0.004156015286980607
cross_layer_consistency_max,0.008246773131001042,0.003962983301161763
isolation_mean,5.551115123125783e-17,1.1102230246251565e-16
cluster_compactness_min,0.0,0.0
cluster_compactness_mean,0.0,0.0
cluster_compactness_max,0.0,0.0
cluster_compactness_std,0.0,0.0
isolation_std,0.0,0.0
isolation_max,0.0,0.0
isolation_min,0.0,0.0
