feature,mean,std
separability_min,0.1661686720960115,0.14468415183190622
local_density_min,0.08702358140399905,0.06591370891105486
local_density_mean,0.07084391253960516,0.05247093284890869
centrality_max,0.06574517456562921,0.054532758222734165
separability_std,0.0565663136484697,0.02538982046347633
local_density_max,0.04985857549982888,0.01853362533833867
local_density_std,0.037479641021558714,0.0177060481475324
separability_max,0.03670754660316948,0.006530408274104253
cross_layer_consistency_mean,0.031169987920731793,0.027838813306510175
centrality_mean,0.03090429107451864,0.017663539131863002
centrality_min,0.027625244083976208,0.02812146019282474
cross_layer_consistency_max,0.02713547754516689,0.022472076096341
centrality_std,0.020747822847028932,0.021763327931766007
separability_mean,0.020614166147559756,0.019836739280595962
cross_layer_consistency_min,0.01864259225379592,0.013745169839170141
cross_layer_consistency_std,0.009681474348033767,0.00347297136742169
isolation_mean,1.734723475976807e-18,3.469446951953614e-18
cluster_compactness_min,0.0,0.0
cluster_compactness_mean,0.0,0.0
cluster_compactness_max,0.0,0.0
cluster_compactness_std,0.0,0.0
isolation_std,0.0,0.0
isolation_max,0.0,0.0
isolation_min,0.0,0.0
