query_id,base_caf
tofu_0,0.38
tofu_1,0.84
tofu_2,0.96
tofu_3,0.76
tofu_4,0.8
tofu_5,0.56
tofu_6,0.78
tofu_7,0.8
tofu_8,0.86
tofu_9,0.86
tofu_10,0.82
tofu_11,0.8
tofu_12,0.74
tofu_13,0.82
tofu_14,0.68
tofu_15,0.84
tofu_16,0.48
tofu_17,0.58
tofu_18,0.22
tofu_19,0.78
tofu_20,0.88
tofu_21,0.94
tofu_22,0.78
tofu_23,0.72
tofu_24,0.98
tofu_25,0.96
tofu_26,0.88
tofu_27,0.88
tofu_28,0.4
tofu_29,0.8
tofu_30,0.7
tofu_31,0.8
tofu_32,1.0
tofu_33,0.2
tofu_34,0.94
tofu_35,0.98
tofu_36,0.98
tofu_37,0.9
tofu_38,1.0
tofu_39,0.86
tofu_40,0.68
tofu_41,0.54
tofu_42,0.94
tofu_43,0.98
tofu_44,0.76
tofu_45,0.9
tofu_46,0.54
tofu_47,0.76
tofu_48,0.86
tofu_49,0.7
tofu_50,0.98
tofu_51,0.7
tofu_52,0.2
tofu_53,0.82
tofu_54,0.42
tofu_55,0.54
tofu_56,0.22
tofu_57,0.9
tofu_58,0.9
tofu_59,0.88
tofu_60,0.72
tofu_61,0.82
tofu_62,0.84
tofu_63,0.5
tofu_64,0.94
tofu_65,0.9
tofu_66,0.46
tofu_67,0.9
tofu_68,0.44
tofu_69,0.56
tofu_70,0.32
tofu_71,0.58
tofu_72,0.8
tofu_73,0.76
tofu_74,0.44
tofu_75,0.52
tofu_76,0.58
tofu_77,0.78
tofu_78,0.58
tofu_79,0.4
tofu_80,0.84
tofu_81,0.94
tofu_82,0.76
tofu_83,0.7
tofu_84,0.82
tofu_85,0.92
tofu_86,0.76
tofu_87,0.9
tofu_88,0.16
tofu_89,0.9
tofu_90,0.86
tofu_91,0.8
tofu_92,0.6
tofu_93,0.92
tofu_94,1.0
tofu_95,0.82
tofu_96,0.6
tofu_97,0.76
tofu_98,0.94
tofu_99,0.94
tofu_100,0.48
tofu_101,0.98
tofu_102,0.94
tofu_103,0.66
tofu_104,0.96
tofu_105,0.6
tofu_106,0.84
tofu_107,0.96
tofu_108,0.26
tofu_109,0.98
tofu_110,0.86
tofu_111,0.66
tofu_112,0.94
tofu_113,0.46
tofu_114,0.92
tofu_115,0.74
tofu_116,0.48
tofu_117,0.02
tofu_118,0.9
tofu_119,0.88
tofu_120,0.34
tofu_121,0.96
tofu_122,0.96
tofu_123,0.4
tofu_124,0.94
tofu_125,0.38
tofu_126,0.68
tofu_127,0.98
tofu_128,1.0
tofu_129,0.58
tofu_130,0.92
tofu_131,0.88
tofu_132,0.62
tofu_133,0.7
tofu_134,0.7
tofu_135,0.7
tofu_136,0.82
tofu_137,0.94
tofu_138,0.74
tofu_139,0.58
tofu_140,0.16
tofu_141,0.22
tofu_142,0.56
tofu_143,0.34
tofu_144,0.74
tofu_145,0.52
tofu_146,0.62
tofu_147,0.2
tofu_148,0.82
tofu_149,0.1
tofu_150,0.84
tofu_151,0.42
tofu_152,0.74
tofu_153,0.38
tofu_154,0.38
tofu_155,0.56
tofu_156,0.4
tofu_157,0.3
tofu_158,0.44
tofu_159,0.64
tofu_160,0.88
tofu_161,0.86
tofu_162,0.68
tofu_163,0.96
tofu_164,0.76
tofu_165,0.38
tofu_166,0.54
tofu_167,0.28
tofu_168,0.88
tofu_169,0.84
tofu_170,0.74
tofu_171,0.88
tofu_172,0.56
tofu_173,0.66
tofu_174,0.56
tofu_175,0.82
tofu_176,0.12
tofu_177,0.92
tofu_178,0.9
tofu_179,0.34
tofu_180,0.78
tofu_181,0.92
tofu_182,0.94
tofu_183,1.0
tofu_184,0.68
tofu_185,0.56
tofu_186,0.68
tofu_187,0.82
tofu_188,0.26
tofu_189,0.92
tofu_190,0.92
tofu_191,0.92
tofu_192,0.88
tofu_193,0.7
tofu_194,0.94
tofu_195,0.88
tofu_196,0.56
tofu_197,0.48
tofu_198,0.86
tofu_199,0.84
