query_id,retention
tofu_0,0.62
tofu_1,0.0
tofu_2,0.5
tofu_3,0.28
tofu_4,0.0
tofu_5,0.0
tofu_6,0.0
tofu_7,0.0
tofu_8,0.02
tofu_9,0.0
tofu_10,0.04
tofu_11,0.0
tofu_12,0.0
tofu_13,0.0
tofu_14,0.0
tofu_15,0.0
tofu_16,0.0
tofu_17,0.06
tofu_18,0.0
tofu_19,0.16
tofu_20,0.84
tofu_21,0.04
tofu_22,0.04
tofu_23,0.18
tofu_24,0.36
tofu_25,0.14
tofu_26,0.02
tofu_27,0.0
tofu_28,0.0
tofu_29,0.48
tofu_30,0.06
tofu_31,0.0
tofu_32,1.0
tofu_33,0.14
tofu_34,0.0
tofu_35,0.3
tofu_36,0.52
tofu_37,0.04
tofu_38,0.04
tofu_39,0.02
tofu_40,0.98
tofu_41,0.0
tofu_42,0.0
tofu_43,0.26
tofu_44,0.1
tofu_45,0.0
tofu_46,0.02
tofu_47,0.0
tofu_48,0.06
tofu_49,0.0
tofu_50,0.8
tofu_51,0.02
tofu_52,0.06
tofu_53,0.02
tofu_54,0.0
tofu_55,0.0
tofu_56,0.0
tofu_57,0.02
tofu_58,0.02
tofu_59,0.02
tofu_60,0.6
tofu_61,0.0
tofu_62,0.0
tofu_63,0.0
tofu_64,0.0
tofu_65,0.06
tofu_66,0.02
tofu_67,0.02
tofu_68,0.0
tofu_69,0.0
tofu_70,0.0
tofu_71,0.0
tofu_72,0.12
tofu_73,0.04
tofu_74,0.08
tofu_75,0.0
tofu_76,0.0
tofu_77,0.0
tofu_78,0.04
tofu_79,0.08
tofu_80,0.92
tofu_81,0.0
tofu_82,0.18
tofu_83,0.08
tofu_84,0.0
tofu_85,0.0
tofu_86,0.0
tofu_87,0.0
tofu_88,0.0
tofu_89,0.0
tofu_90,0.0
tofu_91,0.0
tofu_92,0.02
tofu_93,0.0
tofu_94,0.0
tofu_95,0.02
tofu_96,0.66
tofu_97,0.0
tofu_98,0.0
tofu_99,0.0
tofu_100,0.98
tofu_101,0.0
tofu_102,0.06
tofu_103,0.64
tofu_104,0.0
tofu_105,0.06
tofu_106,0.08
tofu_107,0.12
tofu_108,0.0
tofu_109,0.12
tofu_110,0.0
tofu_111,0.16
tofu_112,0.04
tofu_113,0.02
tofu_114,0.08
tofu_115,0.54
tofu_116,0.0
tofu_117,0.0
tofu_118,0.4
tofu_119,0.12
tofu_120,0.12
tofu_121,0.98
tofu_122,0.2
tofu_123,0.18
tofu_124,0.08
tofu_125,0.02
tofu_126,0.16
tofu_127,0.04
tofu_128,0.52
tofu_129,0.0
tofu_130,0.26
tofu_131,0.22
tofu_132,0.02
tofu_133,0.06
tofu_134,0.0
tofu_135,0.88
tofu_136,0.0
tofu_137,0.0
tofu_138,0.0
tofu_139,0.0
tofu_140,0.0
tofu_141,0.0
tofu_142,0.0
tofu_143,0.02
tofu_144,0.0
tofu_145,0.28
tofu_146,0.0
tofu_147,0.0
tofu_148,0.02
tofu_149,0.0
tofu_150,0.0
tofu_151,0.02
tofu_152,0.02
tofu_153,0.0
tofu_154,0.32
tofu_155,0.0
tofu_156,0.0
tofu_157,0.0
tofu_158,0.0
tofu_159,0.0
tofu_160,0.26
tofu_161,0.04
tofu_162,0.28
tofu_163,0.1
tofu_164,0.0
tofu_165,0.0
tofu_166,0.0
tofu_167,0.0
tofu_168,0.04
tofu_169,0.0
tofu_170,0.0
tofu_171,0.0
tofu_172,0.1
tofu_173,0.0
tofu_174,0.0
tofu_175,0.02
tofu_176,0.0
tofu_177,0.0
tofu_178,0.3
tofu_179,0.04
tofu_180,0.04
tofu_181,0.14
tofu_182,0.28
tofu_183,0.14
tofu_184,0.02
tofu_185,0.2
tofu_186,0.22
tofu_187,0.0
tofu_188,0.0
tofu_189,0.02
tofu_190,0.12
tofu_191,0.1
tofu_192,0.4
tofu_193,0.04
tofu_194,0.24
tofu_195,0.08
tofu_196,0.38
tofu_197,0.0
tofu_198,0.9
tofu_199,0.0
