feature,mean,std
separability_mean,0.16388512869199479,0.052571124359561745
centrality_min,0.10032676525600262,0.10478675002758829
local_density_mean,0.08517632000505898,0.0857798632750675
separability_max,0.07258393526938203,0.014678138230190629
local_density_max,0.0564226438408063,0.026358879219891544
local_density_std,0.04324886220857122,0.04111387065302029
centrality_mean,0.0392488289693014,0.022217342359995697
separability_std,0.032967812251339705,0.008347223025696935
separability_min,0.03191849774510618,0.03279970970184673
local_density_min,0.03156571949667761,0.036031236009627265
centrality_max,0.02760600811025691,0.030985653567175277
cross_layer_consistency_mean,0.02427446501243608,0.03121314789025254
cross_layer_consistency_std,0.023739437418298537,0.007097582938684636
centrality_std,0.022711839773020936,0.021332814485923612
cross_layer_consistency_max,0.014608248647097165,0.013491316706034099
cross_layer_consistency_min,0.014407224069539901,0.014064387855480554
isolation_std,3.469446951953614e-18,6.938893903907228e-18
cluster_compactness_min,0.0,0.0
cluster_compactness_mean,0.0,0.0
cluster_compactness_max,0.0,0.0
cluster_compactness_std,0.0,0.0
isolation_min,0.0,0.0
isolation_max,0.0,0.0
isolation_mean,0.0,0.0
