feature,mean,std
separability_std,0.22785338812956726,0.20559564822150606
separability_mean,0.19649997549623133,0.21163691817362967
separability_min,0.15130484349113069,0.14116162033895854
centrality_max,0.12683425811286925,0.09751144867079616
centrality_std,0.06023717248204004,0.06060386530052469
local_density_mean,0.059196367803256086,0.056449856355475066
separability_max,0.05596796409068568,0.05525126433399043
centrality_min,0.05553499029871154,0.015734133637472
local_density_min,0.040948040421301436,0.04707350227035218
local_density_max,0.022544604035354538,0.014432134648495593
centrality_mean,0.016180140960519406,0.0008427228512284962
local_density_std,0.012386028613755259,0.013558821344977849
cross_layer_consistency_max,0.010485050904711473,0.008986867847540042
cross_layer_consistency_min,0.00835881160426243,0.0015401565117095911
cross_layer_consistency_std,0.007432151087767666,0.007407940937127466
cross_layer_consistency_mean,0.006542133033345758,0.0033760882698750435
isolation_std,1.3877787807814457e-17,2.7755575615628914e-17
cluster_compactness_min,0.0,0.0
cluster_compactness_mean,0.0,0.0
cluster_compactness_max,0.0,0.0
cluster_compactness_std,0.0,0.0
isolation_min,0.0,0.0
isolation_max,0.0,0.0
isolation_mean,0.0,0.0
