query_id,base_caf
tofu_0,0.55
tofu_1,0.75
tofu_2,1.0
tofu_3,0.75
tofu_4,0.8
tofu_5,0.55
tofu_6,0.75
tofu_7,0.65
tofu_8,0.95
tofu_9,0.7
tofu_10,0.65
tofu_11,0.5
tofu_12,0.75
tofu_13,0.85
tofu_14,0.65
tofu_15,0.85
tofu_16,0.6
tofu_17,0.85
tofu_18,0.2
tofu_19,0.7
tofu_20,0.8
tofu_21,1.0
tofu_22,0.75
tofu_23,0.6
tofu_24,1.0
tofu_25,0.9
tofu_26,0.85
tofu_27,0.75
tofu_28,0.4
tofu_29,0.85
tofu_30,0.95
tofu_31,0.9
tofu_32,1.0
tofu_33,0.25
tofu_34,1.0
tofu_35,0.95
tofu_36,1.0
tofu_37,1.0
tofu_38,0.95
tofu_39,0.9
tofu_40,0.7
tofu_41,0.6
tofu_42,0.95
tofu_43,1.0
tofu_44,0.8
tofu_45,0.85
tofu_46,0.4
tofu_47,0.5
tofu_48,0.95
tofu_49,0.65
