query_id,retention
tofu_0,0.6
tofu_1,0.0
tofu_2,0.4
tofu_3,0.25
tofu_4,0.0
tofu_5,0.0
tofu_6,0.0
tofu_7,0.0
tofu_8,0.05
tofu_9,0.0
tofu_10,0.0
tofu_11,0.0
tofu_12,0.0
tofu_13,0.0
tofu_14,0.0
tofu_15,0.1
tofu_16,0.0
tofu_17,0.0
tofu_18,0.0
tofu_19,0.0
tofu_20,0.85
tofu_21,0.0
tofu_22,0.0
tofu_23,0.2
tofu_24,0.25
tofu_25,0.2
tofu_26,0.05
tofu_27,0.0
tofu_28,0.0
tofu_29,0.35
tofu_30,0.05
tofu_31,0.0
tofu_32,1.0
tofu_33,0.0
tofu_34,0.0
tofu_35,0.3
tofu_36,0.45
tofu_37,0.05
tofu_38,0.1
tofu_39,0.05
tofu_40,1.0
tofu_41,0.0
tofu_42,0.0
tofu_43,0.25
tofu_44,0.15
tofu_45,0.0
tofu_46,0.0
tofu_47,0.0
tofu_48,0.05
tofu_49,0.0
