feature,mean,std
centrality_std,0.2241247088870596,0.11310057723691846
centrality_max,0.17229051475519142,0.0680430192908272
separability_mean,0.17142043615194938,0.12498267886663274
separability_min,0.14102854699041306,0.08257201716396012
local_density_min,0.13777301390621124,0.14851225498360723
centrality_mean,0.09385841150720332,0.05660950088515685
centrality_min,0.07321954548740672,0.06027916639040987
local_density_mean,0.07321184948690657,0.08420070447079236
local_density_max,0.07255028717595538,0.0756112401322373
local_density_std,0.05784392409209732,0.0848670955035335
separability_std,0.050685934932124393,0.04302483207678653
cross_layer_consistency_max,0.03393868723736849,0.018178817711617223
cross_layer_consistency_min,0.030419256354416828,0.017072436925738357
cross_layer_consistency_mean,0.029464451690873632,0.01880787232371041
separability_max,0.019536411739528147,0.021240521749005096
cross_layer_consistency_std,0.018726102876473315,0.02120622913692338
isolation_mean,2.7755575615628914e-17,5.551115123125783e-17
cluster_compactness_min,0.0,0.0
cluster_compactness_mean,0.0,0.0
cluster_compactness_max,0.0,0.0
cluster_compactness_std,0.0,0.0
isolation_std,0.0,0.0
isolation_max,0.0,0.0
isolation_min,0.0,0.0
