strategy,average_caf
literary_database,0.244
book_info,0.236
encyclopedia,0.23399999999999999
direct_short,0.22399999999999998
literary_expert,0.22000000000000003
precise,0.21799999999999997
cot,0.214
hypothetical,0.214
author_bio,0.21199999999999997
expert,0.19999999999999996
explain,0.19999999999999996
direct,0.19599999999999998
author_profile,0.19400000000000003
narrative,0.18799999999999997
instruction,0.18599999999999997
confident,0.18599999999999997
tofu_icl,0.18
complete,0.132
icl_general,0.10399999999999998
biography,0.096
